,Agent,sample_id,sample_size,sample,mu,sd
0,0,0,6,"[0.486, 0.677, 0.453, 0.547, 0.527, 0.408]",0.501,0.085
1,0,0,6,"[0.505, 0.745, 0.78, 0.636, 0.647, 0.819]",0.633,0.089
2,0,0,5,"[0.351, 0.381, 0.383, 0.309, 0.333]",0.362,0.021
3,1,0,7,"[0.336, 0.319, 0.342, 0.277, 0.332, 0.337, 0.286]",0.342,0.024
4,1,0,6,"[0.305, 0.21, 0.232, 0.216, 0.247, 0.206]",0.243,0.041
5,1,0,7,"[0.271, 0.233, 0.31, 0.263, 0.292, 0.279, 0.233]",0.272,0.02
6,2,0,7,"[0.648, 0.642, 0.481, 0.755, 0.52, 0.685, 0.618]",0.606,0.093
7,2,0,7,"[0.713, 0.47, 0.56, 0.57, 0.8, 0.725, 0.711]",0.64,0.091
8,2,0,7,"[0.099, 0.095, 0.114, 0.088, 0.085, 0.128, 0.16]",0.126,0.048
9,3,0,6,"[0.209, 0.203, 0.243, 0.228, 0.286, 0.318]",0.238,0.047
10,3,0,6,"[0.24, 0.24, 0.261, 0.259, 0.255, 0.278]",0.239,0.021
11,3,0,6,"[0.726, 0.718, 0.749, 0.72, 0.682, 0.688]",0.72,0.023
