,Agent,sample_id,sample_size,sample,mu,sd
0,0,0,25,"[1.0722984734734706, 0.7357341048463564, 0.9975035055745691, 0.9900302312274938, 0.8495787622164539, 1.0357968780122344, 1.2654026193708132, 0.9921136137742675, 1.2198416274538904, 1.2434139270033941, 1.1666204211396163, 1.298115725351161, 1.1099563585912187, 0.9379412310273499, 1.3730554772009735, 1.0462569071509362, 1.1366949863625992, 1.0164090245819353, 1.0031136370956084, 1.4352612978848152, 1.1276651292033864, 1.0777657161097578, 1.2792852163196644, 0.6387721403545323, 1.4246558814682144]",1.1191304446158816,0.20850924392417194
1,0,1,26,"[0.8781039891838804, 1.1316884579280682, 1.0271030763022215, 1.4253922459915471, 1.079603075677664, 0.9384061583269798, 0.6260316385590916, 1.3949270364734647, 1.0293786264894118, 0.9698742465339447, 0.7875148312634561, 1.1924515641556606, 0.7955170511895007, 1.4237849410448973, 0.6578237740982795, 1.2011246781866274, 1.2988668955640135, 0.9062231523538966, 0.966763144842014, 0.872901987829732, 0.8444770138922875, 1.250602328363758, 1.1823494906378933, 1.0370130106430295, 0.9068514200763997, 1.0293352792340584]",1.1191304446158816,0.20850924392417194
2,0,2,21,"[1.1034412101316153, 1.1489067054903646, 1.1633015657654249, 0.9217586439132016, 1.1391323138809983, 1.2704886623582872, 0.8420333779385059, 1.457831473985792, 1.0870439204622004, 1.2306659566216327, 0.9112132201865246, 1.090841824629376, 0.9536735548591818, 1.0917853974202234, 1.0266422309225374, 1.0365222587692957, 0.9158549354362349, 0.9550763605965639, 0.9401118524354393, 0.9226588847212354, 0.7110633849789786]",1.1191304446158816,0.20850924392417194
3,0,3,24,"[1.1909909165739416, 1.2266261199892796, 1.1892056959902937, 0.8983901861744752, 1.2681382754164994, 1.336996596449055, 0.8002197914315994, 1.1565254762946722, 0.8624974573755531, 1.0892466554275022, 0.9246618110254338, 1.4686391598537432, 1.203274108146325, 1.1654628938729954, 0.8818288479310085, 1.0879787074412832, 1.4160719200389709, 1.3710768697918227, 1.3438400831869726, 1.2975004706617748, 1.4060195178480743, 1.0989916797559045, 1.0009889474214322, 1.0713108020823354]",1.1191304446158816,0.20850924392417194
4,0,4,29,"[1.4076966386382737, 1.0653532708796793, 1.2314390933357096, 0.8907909782725638, 1.2055548591370817, 1.2205753231897536, 1.2592177591260558, 1.2968337214655405, 0.931876546166003, 1.1339562203303373, 1.0357178698144707, 0.9873855509785618, 1.3975487099175898, 0.8903998207358139, 1.195230867535873, 1.0612918238864641, 1.4432110384790136, 1.1128815943011947, 1.3677960956698954, 1.2252617661823935, 1.4667756023351077, 1.2592152694798628, 1.3033856881658978, 0.682568894359773, 1.355545711999419, 0.9532742489900803, 1.0878952677754716, 0.9252192244285866, 1.0223841605371173]",1.1191304446158816,0.20850924392417194
5,0,5,28,"[0.7315831683376623, 0.7937130934331396, 1.341691270588015, 1.2638814190134988, 1.05979532496411, 0.9963381258861814, 1.0639404970634676, 1.2706619533894623, 1.2441973109456048, 1.122236935820432, 1.7450063517299155, 0.9038873437052667, 0.7628714101548202, 1.361361030871067, 0.8917848986391841, 1.2546055930698263, 1.0707985654556706, 1.0942679252743792, 1.4199169679047856, 1.00574366463451, 1.0799762032456413, 1.3221967460761561, 1.2459496835552415, 1.1666859120746094, 1.1529311321546634, 1.354501340175774, 1.6172464384097451, 1.0467945811470762]",1.1191304446158816,0.20850924392417194
6,0,6,27,"[1.4307867439355881, 1.3852784251911152, 0.975691214399787, 1.0523209238983273, 0.8771459686606973, 1.1990852315474758, 1.092024857123439, 1.0451862921420723, 1.0387674720218085, 1.1477184391154776, 0.8793983548454012, 0.743112917455699, 0.9558505337398928, 1.145812707083766, 1.2679944149751625, 0.7619227648976332, 0.7726225492833172, 1.0009345836188783, 1.4381564749871518, 0.9753396405717477, 1.2656106756959211, 0.8435573403601981, 1.193300498185533, 1.0492258420675724, 1.2554947423516236, 1.2017229025772485, 1.1141621919348126]",1.1191304446158816,0.20850924392417194
7,0,7,25,"[1.1128648834533714, 1.0464645284976655, 1.272906013388097, 0.9689825900400981, 1.3983705643857807, 1.335400565434948, 0.9395868653212787, 1.3125879384385695, 1.1335793478319651, 0.9992972569602532, 1.164847084952419, 1.2154658846516293, 1.1016554692106646, 1.0301669158204, 1.2276526281149756, 1.204576235667603, 0.9123865069277959, 1.204506134623546, 1.1336668889019341, 0.9005164494607971, 1.04412923029574, 0.9753220260176666, 0.8602097744444048, 0.7678681943412475, 0.9187771033447294]",1.1191304446158816,0.20850924392417194
8,0,8,23,"[0.7605978388500731, 0.9470158399778013, 0.8971536870088361, 1.4753687800793371, 1.4715074478798402, 0.7794108727166025, 1.2345864813323817, 0.463399199258823, 1.235904050268194, 1.1427550777177133, 0.6779245874930662, 1.0853277804671388, 1.155902624320061, 0.8900654829136873, 1.1646179028029493, 1.3922304556900142, 1.1407741131000753, 1.0780835079314495, 1.1256208059607458, 1.0058336915417716, 1.309324263633795, 1.1142925966183157, 0.9120265099245433]",1.1191304446158816,0.20850924392417194
9,0,9,21,"[1.2042806696225625, 1.2086160778811743, 1.4635432526865944, 0.8531088580981318, 1.4160808490293557, 1.0824359777000245, 0.8622960816970144, 1.1031393331932366, 1.4472359675491477, 1.2495821476045992, 0.8904973557270442, 0.9547316111777193, 1.3213486815490472, 1.1929441357165713, 1.1981637266042342, 0.9322157166610658, 1.1859504092892763, 0.8968648078800351, 1.1431209721349247, 1.6540022087955961, 0.9570191782367367]",1.1191304446158816,0.20850924392417194
10,0,10,21,"[1.0828137087719092, 1.0072857847927232, 1.3242235772924436, 1.1475396102627053, 1.073685386403983, 1.1369843421618704, 1.2015532850436683, 0.8950843895706087, 1.0345793237505436, 1.1691566166870686, 1.4595764733377443, 0.9037353451822401, 0.9244893200275192, 1.1731415590322043, 1.232475144783871, 0.8126279943716588, 0.9615457291810817, 0.9568870384989776, 1.1622080338114484, 1.0818384149527656, 1.3169462795258577]",1.1191304446158816,0.20850924392417194
11,0,11,22,"[1.4683609515956477, 1.1765449145453726, 1.1209071283828285, 0.5826859422121285, 0.9581057992438531, 0.7446791308772611, 1.180962716366976, 0.8198547388977089, 1.1182997761697875, 1.094079652436914, 0.9252158918659427, 1.0140817670525335, 1.1559333089644004, 1.0359046936932075, 1.3026998354799093, 1.2658438935615588, 1.1088421840068925, 1.2626127776823914, 0.9644781877384019, 1.6995113782784355, 0.8897948354675516, 1.1858772584441197]",1.1191304446158816,0.20850924392417194
12,0,12,23,"[1.3099970734992035, 1.4374460011385026, 1.4801166467559042, 1.0805229160755587, 1.0181623939153748, 0.9875186674467737, 1.0933187061409018, 1.1967740174443728, 1.0064067825169858, 1.4245475443810767, 1.0298436790741432, 1.5235151653044845, 1.5742971093436229, 1.391938141755467, 1.1549078493938152, 1.4127748875358677, 0.8806410862339854, 1.0271182739264944, 1.0434445740600167, 1.266888637201539, 1.1791611784410516, 1.0284424689219405, 1.0198642564958431]",1.1191304446158816,0.20850924392417194
