,Agent,sample_id,sample_size,sample,mu,sd
1,0,0,9,"[1.5010595317848163, 1.9022075689091011, 2.7980074748853694, 1.7842016963887022, 1.4539434646401008, 0.96169421978983, 2.656562872545443, 2.4075781777267458, 1.719864393751373]",1.762591402013338,0.6003838419417227
2,0,1,3,"[2.1710256421201164, 1.9624788383900678, 2.6549738618534957]",1.896828998855228,0.4105330065357462
3,0,2,4,"[1.6387242525181802, 0.9778630180501904, 1.420068404016419, 0.37485849357958245]",1.2506386774393017,0.5765067698264773
4,0,3,3,"[1.8385103308909214, 2.8361363004870666, 1.879074850075841]",1.7694749444495805,0.6003838419417227
5,0,4,8,"[0.8906398357985887, 1.1014425750454377, 0.3344762109247241, 1.6241650939119179, 1.0251571355927909, 0.7686059387233288, 2.0206786508642693, 2.084320802180873]",1.2277012007546972,0.6003838419417227
6,0,5,7,"[1.1819641132145018, 2.2086307387908315, 3.0632255850223946, 2.5370445584194248, 2.050128107021885, 1.7498134888473529, 2.7096315816248677]",1.8395660002289267,0.6003838419417227
7,0,6,9,"[2.3679681484743025, 2.4941290254940425, 1.4719052539654078, 1.5902352577216967, 1.7980832440290138, 1.877608291690773, 2.0628381831589486, 2.2406461108436755, 1.3991372338068242]",1.6655404858669,0.4105330065357462
8,0,7,8,"[2.7936454423433625, 2.650401914281767, 2.298373025775231, 1.5154094250730026, 1.661261425042504, 2.5482920799455573, 1.1181618141665233, 1.2210778440613255]",1.9069671102291585,0.6003838419417227
9,0,8,6,"[0.2775090343351383, 1.0059933832110668, 1.5276596830775708, 1.521115957596922, 0.8257716182197594, 0.5674077907136458]",1.230416162143267,0.4105330065357462
10,0,9,9,"[1.338667996057748, 1.777603919592634, 1.2868450965912837, 0.7290423148605312, 1.71560562466032, 1.8326008864820993, 0.508425943837312, 1.1761781357422534, 1.0710314309938433]",1.145502575975689,0.6003838419417227
11,0,10,7,"[1.3148049434925002, 0.8200047556365317, 1.1643899382374467, 0.575172068083183, 1.2989215224420096, 1.0431894439270284, 1.052162952781734]",1.4434533899193684,0.4105330065357462
12,0,11,9,"[1.821427791059452, 1.9512360693088242, 1.7152654464295471, 1.2948592780105392, 1.2684398661818965, 1.4793114692281468, 1.8221193466860286, 1.7318363336245644, 1.2389381861072137]",1.5750055250268875,0.4105330065357462
13,0,12,7,"[0.505604351229327, 1.1569158954745773, 1.477495205228459, 1.5815681933489323, 1.0953468435877114, 0.6648727823567842, 1.669496372434132]",1.1439497046485498,0.6003838419417227
14,0,13,5,"[1.6188791244296297, 1.395532100826752, 1.062991620961881, 1.5482600887633668, 1.7524806338125278]",1.4852511060504043,0.6003838419417227
15,0,14,6,"[1.54892016621944, 1.821614440870559, 1.9332506322751937, 2.312964483583244, 0.9065214127620164, 1.012899931093238]",1.299867603259623,0.6003838419417227
16,0,15,9,"[2.0482661050232434, 0.48060338103323086, 2.523263885879797, 0.7214008186444393, 0.5497424978630445, 0.32048958241916714, 1.3755178823130758, 3.2518589936578604, 1.7093323198862036]",1.3098880212317399,0.6003838419417227
17,0,16,7,"[0.504012952878543, 1.37501228117718, 0.5878672960169998, 1.2731239097696463, 2.1891947820704702, 1.551956870235641, 0.7097969978943317]",1.2542715540905398,0.6003838419417227
